# Region type :   patch inlet
# Faces           : 120
# Area            : 5.0000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.331482          	-4.2991874104e-02
0.331908          	-4.3527793395e-02
0.332384          	-4.4208567852e-02
0.332928          	-4.5118370679e-02
0.333344          	-4.3385044528e-02
0.33382           	-4.4201453043e-02
0.334206          	-4.2985392566e-02
0.334652          	-4.3805279724e-02
0.335138          	-4.4352340732e-02
0.335678          	-4.5074295080e-02
0.336071          	-4.3075008375e-02
0.336508          	-4.3681667066e-02
0.337006          	-4.4526102793e-02
0.337505          	-4.4520395389e-02
0.338004          	-4.4518746587e-02
0.338503          	-4.4516894967e-02
0.339002          	-4.4515020788e-02
0.339501          	-4.4513084572e-02
0.34              	-4.4511223032e-02
0.340556          	-4.5266643262e-02
0.341183          	-4.6201230233e-02
0.341653          	-4.4102060667e-02
0.342177          	-4.4833159426e-02
0.342623          	-4.3770694043e-02
0.343037          	-4.3344670092e-02
0.343508          	-4.4128459911e-02
0.34404           	-4.4940924927e-02
0.344555          	-4.4704068531e-02
0.345127          	-4.5463329482e-02
0.345564          	-4.3653332391e-02
0.346062          	-4.4475986841e-02
0.346449          	-4.2975328005e-02
0.346886          	-4.3664668865e-02
0.347372          	-4.4320657540e-02
0.347921          	-4.5163851483e-02
0.348557          	-4.6294890641e-02
0.348965          	-4.3254454210e-02
0.349407          	-4.3711921835e-02
0.349867          	-4.3971759298e-02
0.350374          	-4.4590559358e-02
0.350909          	-4.4960864368e-02
0.351477          	-4.5397755558e-02
0.352133          	-4.6532236030e-02
0.352595          	-4.3967512112e-02
0.353089          	-4.4393415985e-02
0.353665          	-4.5482455484e-02
0.354061          	-4.3066434541e-02
0.354518          	-4.3902412515e-02
0.354975          	-4.3901137056e-02
0.355477          	-4.4515700220e-02
0.35598           	-4.4512061057e-02
0.356554          	-4.5463147923e-02
0.357046          	-4.4364474381e-02
0.357539          	-4.4370043349e-02
0.358154          	-4.5996644298e-02
0.358615          	-4.3942656079e-02
0.358962          	-4.2388774941e-02
0.359308          	-4.2397416004e-02
0.359654          	-4.2402325587e-02
